Event,ST,ET,Remark,Location,Category,Duration,Tag
"""hackinbo sicurezza all'ombra delle torri"" spring edition 2016 + lab",2016-05-14 09:30:00+02:00,2016-05-14 18:00:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dp4qx-giqjn5mwxjy2n5kelrz3jsgyg0qm","boscolo tower hotel, viale lenin 4340100 bologna, bologna, emilia-romagna, it, 40100",broi,8.5,
"""hackinbo sicurezza all'ombra delle torri"" spring edition 2016 + lab",2016-05-14 09:30:00+02:00,2016-05-14 18:00:00+02:00,nan,"best western plus tower hotel  - viale lenin 43, bologna, emilia-romagna 40100",broi,8.5,
"""hackinbo sicurezza all'ombra delle torri"" spring edition 2016 + lab",2016-05-14 09:30:00+02:00,2016-05-14 18:00:00+02:00,nan,"best western plus tower hotel  - viale lenin 43, bologna, emilia-romagna 40100",broi,8.5,
encase forensic roadshow,2016-09-13 09:00:00+02:00,2016-09-13 13:30:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dmsew2dtw071xcufia38de4bkt9w_fzcru","collegio internazionale seraphicum, romevia del serafico, 100142 rome, rome, italy, it, 00142",broi,4.5,
"""hackinbo sicurezza all'ombra delle torri"" winter edition 2016",2016-10-29 09:00:00+02:00,2016-10-29 18:30:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dodlxwteeixa9ovl1maqmq5kp1fozjjres","best western plus tower hotel, viale lenin 4340100 bologna, bologna, emilia-romagna, it, 40100",broi,9.5,
film,2016-12-10 16:20:00+01:00,2016-12-10 17:50:00+01:00,nan,nan,broi,1.5,
"""hackinbo sicurezza all'ombra delle torri"" spring edition 2017 + lab",2017-05-06 09:30:00+02:00,2017-05-06 18:00:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dnwk8woxr5emcb3rxzktwxoalt3cgfkr28","best western plus tower bologna, viale ilic uljanov lenin, 4340138 bologna, bologna, emilia-romagna, it, 40138",broi,8.5,
soggiorno presso hotel califfo,2017-08-28 02:00:00+02:00,2017-09-03 02:00:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dovpih9eirvzippxjfexdjg9v-f1qpchuo","via leonardo da vinci, 118, 09045 quartu s. elena ca, italia",broi,144.0,
"hackinbo ""sicurezza all'ombra delle torri"" winter edition 2017",2017-10-14 09:30:00+02:00,2017-10-14 18:00:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar","best western plus tower bologna, viale ilic uljanov lenin, 4340138 bologna, bologna, emilia-romagna, it, 40138",broi,8.5,
caldaia,2017-11-20 01:00:00+01:00,2017-11-21 01:00:00+01:00,nan,nan,broi,24.0,
"""hackinbo sicurezza all'ombra delle torri"" spring edition 2018 + lab",2018-05-26 09:30:00+02:00,2018-05-26 18:30:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dpjron66jk1mw4lxo_7vsbakc1cqvyv2z8","fico eataly world, via paolo canali 840127 bologna, bologna, emilia-romagna, it, 40127",broi,9.0,
digital forensics & investigations meeting 2018,2018-06-26 02:00:00+02:00,2018-06-28 02:00:00+02:00,"digital forensics & investigations meeting

evento rivolto agli esperti di computer forensics e mobile forensics per discutere le ultime novità nel campo della investigazioni digitali e del loro supporto alle investigazioni e all'intelligence.
 l'evento ha durata di due giorni e gli ospiti avranno l’opportunità di assistere a presentazioni ed interagire direttamente con vendor ed esperti internazionali. 
sarà presente anche un'area espositiva dove i vendor software potranno direttamente entr

https://www.eventbrite.com/e/digital-forensics-investigations-meeting-2018-tickets-44463094312?aff=eand","hotel villa eur, rome piazzale marcellino champagnat , 00144 rome",broi,48.0,
digital forensics & investigations meeting 2018,2018-06-26 02:00:00+02:00,2018-06-28 02:00:00+02:00,"digital forensics & investigations meeting

evento rivolto agli esperti di computer forensics e mobile forensics per discutere le ultime novità nel campo della investigazioni digitali e del loro supporto alle investigazioni e all'intelligence.
 l'evento ha durata di due giorni e gli ospiti avranno l’opportunità di assistere a presentazioni ed interagire direttamente con vendor ed esperti internazionali. 
sarà presente anche un'area espositiva dove i vendor software potranno direttamente entr

https://www.eventbrite.com/e/digital-forensics-investigations-meeting-2018-tickets-44463094312?aff=eand","hotel villa eur, rome piazzale marcellino champagnat , 00144 rome",broi,48.0,
nan,2018-08-06 06:00:00+02:00,2018-08-06 07:00:00+02:00,h 08.30 pulizia scarichi 5b,nan,broi,1.0,
corso di perfezionamento,2018-11-13 01:00:00+01:00,2019-02-27 01:00:00+01:00,"il corso, organizzato in collaborazione con il comitato locale i.p.a. di riccione, si terrà dalle 8.30 alle 17.30 nelle date sotto riportate presso il palazzo del turismo – piazzale ceccarini 11 riccione
il corso è destinato agli operatori delle ff.oo. e ff.aa ed ha lo scopo di approfondire e perfezionare le proprie conoscenze nelle materie delle investigazioni digitali, economiche e scientifiche.
13 novembre – digital forensic
simone bonifaziantonio broi• la digital forensic• mobile forensic

https://www.eventbrite.it/e/biglietti-corso-di-perfezionamento-50808254858?aff=eand","palazzo del turismo, piazzale ceccarini 11, riccione",broi,2544.0,
"viaggio brescia-bologna centrale, brescia-milano centrale:treno frecciarossa 9750, carr 8, posti 5d, pnr ss6ul5, milano centrale-bologna centrale:treno frecciarossa 9567, carr 5, posti 18c, pnr ss6ul5,",2018-12-11 01:00:00+01:00,2018-12-12 01:00:00+01:00,nan,brescia,broi,24.0,
volo per cagliari (fr 3968),2019-01-29 10:30:00+01:00,2019-01-29 11:50:00+01:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dnpvdclbl1uzias0pmo4ooupkjrjabkdcg",bologna blq,broi,1.3333333333333333,
volo per bologna (fr 3969),2019-01-31 12:15:00+01:00,2019-01-31 13:35:00+01:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dnpvdclbl1uzias0pmo4ooupkjrjabkdcg",cagliari cag,broi,1.3333333333333333,
soggiorno presso four points sheraton bolzano bozen,2019-03-12 01:00:00+01:00,2019-03-16 01:00:00+01:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dotfrqlvwcsbsnh-1rgzghhq7wpe2fon5i","four points by sheraton bolzano, bozen",broi,96.0,
cittadella - digital forensics,2019-05-07 02:00:00+02:00,2019-05-08 02:00:00+02:00,"for details, link here: https://cittadella-digital-forensics.eventbrite.it",torre di malta - via del cristo 41 - 35013 cittadella - italia,broi,24.0,
cittadella - digital forensics,2019-05-07 08:30:00+02:00,2019-05-07 17:30:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dnvgb-izky_9q2ckbiwegee96fhl5lydt8","torre di malta, via del cristo 4135013 cittadella, cittadella, pd, it, 35013",broi,9.0,
seminario digital gorensic cittadella lab4int.org,2019-05-10 13:30:00+02:00,2019-05-10 14:30:00+02:00,nan,nan,broi,1.0,
cittadella - drone forensics,2019-05-17 08:30:00+02:00,2019-05-17 17:30:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dovak-l5l7jb2ml3nneahqmyit_rrglhky","villa rina, via riva del grappa, 8935013 cittadella, cittadella, pd, it, 35013",broi,9.0,
dentista matteo tizzani 1845,2019-05-22 18:00:00+02:00,2019-05-22 18:20:00+02:00,nan,nan,broi,0.3333333333333333,
cittadella - osint - o.s.intelligence,2019-06-03 08:30:00+02:00,2019-06-03 17:30:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dnwsm-yenrssuzf6xq2b7f2puxpekg0bno","villa rina, riva del grappa, 9135013 cittadella, cittadella, pd, it, 35013",broi,9.0,
darkweb analysis,2019-06-14 08:30:00+02:00,2019-06-14 17:30:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dpnxebbawaqm3ymlkult9uf07npxf1hwq4","villa rina, riva del grappa, 9135013 cittadella, cittadella, pd, it, 35013",broi,9.0,
cittadella - economic crime,2019-06-28 08:30:00+02:00,2019-06-28 17:30:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dpcnojh6e4jj_eaeofnjlcw_gaaq8q1arm","villa rina, riva del grappa, 9135013 cittadella, cittadella, pd, it, 35013",broi,9.0,
your iphone xmax is ready for pickup,2019-08-24 21:06:00+02:00,2019-08-25 17:06:00+02:00,"⏰ you have won a new i phone xs, fill your contact info to get it. offer available for 30 minutes. 
 
✅ go to - http://amznsale.mobi/1p15?i=14274",► here - http://amznsale.mobi/1p15?i=14274,broi,20.0,
your iphone xmax is ready for pickup,2019-08-26 21:06:00+02:00,2019-08-27 17:06:00+02:00,"⏰ you have won a new i phone xs, fill your contact info to get it. offer available for 30 minutes. 
 
✅ go to - http://amznsale.mobi/1p15?i=14274",► here - http://amznsale.mobi/1p15?i=14274,broi,20.0,
your iphone xmax is ready for pickup,2019-08-27 21:06:00+02:00,2019-08-28 17:06:00+02:00,"⏰ you have won a new i phone xs, fill your contact info to get it. offer available for 30 minutes. 
 
✅ go to - http://amznsale.mobi/1p15?i=14274",► here - http://amznsale.mobi/1p15?i=14274,broi,20.0,
your iphone xmax is ready for pickup,2019-08-28 21:06:00+02:00,2019-08-29 17:06:00+02:00,"⏰ you have won a new i phone xs, fill your contact info to get it. offer available for 30 minutes. 
 
✅ go to - http://amznsale.mobi/1p15?i=14274",► here - http://amznsale.mobi/1p15?i=14274,broi,20.0,
your iphone xmax is ready for pickup,2019-08-29 21:06:00+02:00,2019-08-30 17:06:00+02:00,"⏰ you have won a new i phone xs, fill your contact info to get it. offer available for 30 minutes. 
 
✅ go to - http://amznsale.mobi/1p15?i=14274",► here - http://amznsale.mobi/1p15?i=14274,broi,20.0,
your iphonex is ready for pickup,2019-09-01 01:36:42+02:00,2019-09-01 06:59:59+02:00,"✅ free iphonexs, fill out the form and get it. offer available for 3 hours.
✅ go to https://iphone.mrsur.com",apple - https://iphone.mrsur.com,broi,5.383333333333334,
"""hackinbo - sicurezza all'ombra delle torri"" winter edition 2019",2019-11-09 01:00:00+01:00,2019-11-10 01:00:00+01:00,"for details, link here: https://www.eventbrite.it/e/biglietti-hackinbo-sicurezza-allombra-delle-torri-winter-edition-2019-62213123126",fico eataly world - via paolo canali 8 - 40127 -  bologna - italia,broi,24.0,
dentista matteo tizzani,2019-12-20 16:15:00+01:00,2019-12-20 16:40:00+01:00,dentista tizzani,"via fossoli 65, bologna",broi,0.4166666666666667,
"hackinbo ""safe edition""",2020-05-14 21:30:00+02:00,2020-05-14 22:00:00+02:00,"-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
partecipa con google meet: https://meet.google.com/aem-hnvf-fir

scopri di più su meet all’indirizzo: https://support.google.com/a/users/answer/9282720

non modificare questa sezione.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-",nan,broi,0.5,
"hackinbo® ""sicurezza all'ombra delle torri"" spring edition 2020",2020-05-30 02:00:00+02:00,2020-05-31 02:00:00+02:00,"hackinbo è un evento sulla sicurezza informatica nella città di bologna.
nasce per sopperire alla mancanza di una manifestazione di questo tipo sul territorio bolognese.
ci sarà l’occasione per parlare e incontrare esperti del settore in un’atmosfera rilassata e collaborativa cogliendo l’occasione per rimanere aggiornati sulle ultime tematiche riguardanti l’it-security
l’evento è rivolto ai dirigenti d’azienda, agli it-manager, ai sistemisti, agli appassionati e  a tutte quelle persone intere

https://www.eventbrite.it/e/biglietti-hackinbo-sicurezza-allombra-delle-torri-spring-edition-2020-93796222025?aff=eand","fico eataly world, via paolo canali 8, 40127 bologna",broi,24.0,
riunione you4b,2020-06-15 21:00:00+02:00,2020-06-15 22:00:00+02:00,"clicca sul link seguente per partecipare alla conferenza:
<a href=""https://meet.jit.si/backworksdresslong"">https://meet.jit.si/backworksdresslong</a>

=====

vuoi solo ascoltare la conferenza da un telefono?

componi: +1.512.647.1431 pin: 3367292339#

clicca questo link per vedere i numeri telefonici di questo meeting
<a href=""https://meet.jit.si/static/dialininfo.html?room=backworksdresslong"">https://meet.jit.si/static/dialininfo.html?room=backworksdresslong</a>

-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
partecipa con google meet: https://meet.google.com/uvh-imux-cpd

scopri di più su meet all’indirizzo: https://support.google.com/a/users/answer/9282720

non modificare questa sezione.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-",nan,broi,1.0,
chiamare muratore ediledera nino,2020-07-22 10:00:00+02:00,2020-07-22 11:00:00+02:00,nan,nan,broi,1.0,
ford stracciari villanova,2020-08-04 15:00:00+02:00,2020-08-04 16:00:00+02:00,nan,nan,broi,1.0,
appuntamento patronato via torreggiano,2020-10-12 07:30:00+02:00,2020-10-12 08:30:00+02:00,nan,nan,broi,1.0,
sky q box sostituzione,2020-10-21 14:30:00+02:00,2020-10-21 15:30:00+02:00,nan,nan,broi,1.0,
cambio gomme pneus mirko,2020-10-31 07:00:00+01:00,2020-10-31 08:00:00+01:00,nan,"via san donato, via s. donato, bologna bo, italia",broi,1.0,
osint day,2021-04-30 02:00:00+02:00,2021-05-01 02:00:00+02:00,"1° osintday ufficiale organizzato da #osintitalia in collaborazione con il corso di perfezionamen...
 details for the event can be found here: https://www.linkedin.com/comm/events/osintday6789116500256030720/?midtoken=aqg90hoyvnck8q&amp;midsig=0xtcg6y7v5ipi1&amp;trk=eml-email_attendee_confirmation_01-null-1-null&amp;trkemail=eml-email_attendee_confirmation_01-null-1-null-null-2bk4s0%7eknoshtgq%7e3e-null-neptune%2fprofessional%7eevent%2eoverview&amp;lipi=urn:li:page:email_email_attendee_confirmation_01;br5kjmivs7y6gue36wuveg%3d%3d",online,broi,24.0,
osint day,2021-04-30 15:00:00+02:00,2021-04-30 19:00:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dplchp4i6kvin0t7shmgempytpybvrzibm",https://www.linkedin.com/events/osintday6789116500256030720,broi,4.0,
cryptocurrency mining botnet investigation: visualize active c2 servers,2021-05-12 20:00:00+02:00,2021-05-12 21:00:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6donmqqq9ex3dx2wppxbw5rdvvryr0yrxs8",https://www.linkedin.com/events/cryptocurrencyminingbotnetinves6790630813122772992,broi,1.0,
conference con antonio,2021-05-21 17:00:00+02:00,2021-05-21 18:00:00+02:00,"ci vediamo venerdi prossimo 21 maggio 2021 dalle h. 05.00 pm alle 06.00 pm.
test su docenza.
clicca qui per la chat:
https://meet.google.com/rtp-ponk-dba",nan,broi,1.0,
richiamo vaccinazione,2021-05-27 02:00:00+02:00,2021-05-28 02:00:00+02:00,nan,nan,broi,24.0,
conference con antonio,2021-05-28 09:30:00+02:00,2021-05-28 10:00:00+02:00,"________________________________________________________________________________
riunione di microsoft teams
partecipa tramite computer o app per dispositivi mobili
fai clic qui per partecipare alla riunione<https://teams.microsoft.com/l/meetup-join/19%3ameeting_ywi0mdhimzatzti5ny00mtg3lthmmwutzwezotrjzde3yti5%40thread.v2/0?context=%7b%22tid%22%3a%228b0a80ae-b7d7-4542-9b6f-a8eb403f9b21%22%2c%22oid%22%3a%227375f973-ddae-46fe-83da-213139a3d9a7%22%7d>
in alternativa, partecipa tramite chiamata (solo audio)
+39 02 0069 9576,,669383349#<tel:+390200699576,,669383349#>   italy, milano
id conferenza telefonica: 669 383 349#
trova un numero locale<https://dialin.teams.microsoft.com/1c8f6b58-be25-4e8d-ac41-ff4e7b41b3e2?id=669383349> | reimposta pin<https://mysettings.lync.com/pstnconferencing>
altre informazioni<https://aka.ms/jointeamsmeeting> | opzioni riunione<https://teams.microsoft.com/meetingoptions/?organizerid=7375f973-ddae-46fe-83da-213139a3d9a7&tenantid=8b0a80ae-b7d7-4542-9b6f-a8eb403f9b21&threadid=19_meeting_ywi0mdhimzatzti5ny00mtg3lthmmwutzwezotrjzde3yti5@thread.v2&messageid=0&language=it-it>
________________________________________________________________________________",nan,broi,0.5,
hackinbo spring 2021 - lab edition - 16° edizione,2021-05-29 09:30:00+02:00,2021-05-29 17:00:00+02:00,"for details, go here:
https://www.eventbrite.it/e/biglietti-hackinbo-spring-2021-lab-edition-16-edizione-152870017337

to access the online event page, go here:
https://www.eventbrite.it/x/biglietti-hackinbo-spring-2021-lab-edition-16-edizione-152870017337",nan,broi,7.5,
"hackinbo spring 2021 ""lab edition""",2021-05-29 09:30:00+02:00,2021-05-29 17:00:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dndeczj7qntgzkvpt-zfsiv4xpzr65so9g",https://www.linkedin.com/events/hackinbospringedition20216732305147050938368,broi,7.5,
