Subject,Start Date,End Date
Processo Milano,2022-07-06T06:00:00+00:00,2022-07-06T07:00:00+00:00
Partenza Milano GTMBS 11 e perquisa il 12,2022-05-11T06:00:00+00:00,2022-05-11T07:00:00+00:00
Cryptocurrency Mining Botnet Investigation: Visualize Active C2 Servers,2021-05-12T18:00:00+00:00,2021-05-12T19:00:00+00:00
Richiamo vaccinazione,2021-05-27T00:00:00+00:00,2021-05-28T00:00:00+00:00
ð+LIVE+-+Introduction+to+RNNs+|+TensorFlow+and+Keras+|+PyImageSearch,2022-07-15T13:30:00+00:00,2022-07-15T15:30:00+00:00
Esame Lella Via s.isaia 94 08.54,2021-12-28T06:00:00+00:00,2021-12-28T07:00:00+00:00
OSINT DAY,2021-04-30T00:00:00+00:00,2021-05-01T00:00:00+00:00
HackInBo Spring Edition 2022 - 18° Edizione,2022-05-28T07:00:00+00:00,2022-05-28T15:00:00+00:00
HackInBo® Spring Edition 2022 - 18° Edizione,2022-05-28T07:00:00+00:00,2022-05-28T15:00:00+00:00
"Viaggio Roma Termini-Napoli Centrale, Treno Frecciarossa 9503, Carr 1, Posti 14D, PNR QH6FEN,  ",2022-07-09T06:00:00+00:00,2022-07-09T07:13:00+00:00
Hackinbo in Borghese!,2023-06-10T05:30:00+00:00,2023-06-10T06:30:00+00:00
"SAVE THE ""EXTRA"" DATE - OSINT + Maltego/SocialNet training (Soft Strategy / docente Antonio Broi)",2021-07-05T06:00:00+00:00,2021-07-05T12:00:00+00:00
Cambio gomme Pneus Mirko,2020-10-31T06:00:00+00:00,2020-10-31T07:00:00+00:00
DEFT02 - Open Source Intelligence (OSINT),2022-12-05T09:00:00+01:00,2022-12-05T17:00:00+01:00
OSINT Command-line and Python Tools,2022-08-18T18:00:00+00:00,2022-08-18T19:00:00+00:00
Lella Villa Chiara risonanza magnetica  Via Porrettana 170 Casalecchio,2022-01-11T16:30:00+00:00,2022-01-11T17:30:00+00:00
SAVE THE DATE - OSINT Anti-Terrorismo a Bolzano,2021-06-24T00:00:00+00:00,2021-06-26T00:00:00+00:00
Tampone per contatti stretti,2021-11-17T11:50:00+00:00,2021-11-17T11:55:00+00:00
Your iPhoneX is ready for Pickup,2019-08-31T16:36:42-07:00,2019-08-31T21:59:59-07:00
Conference con Antonio,2021-05-21T15:00:00+00:00,2021-05-21T16:00:00+00:00
HackInBo® Business Edition Spring 2023,2023-06-09T06:15:00+00:00,2023-06-09T15:30:00+00:00
"Viaggio Bologna Centrale-Roma Termini, Treno Frecciarossa 9405, Carr 6, Posti 1D, PNR QGMJ9N,  ",2022-07-08T07:02:00+00:00,2022-07-08T09:22:00+00:00
Pulizia Caldaia Immergas H0900/0830,2021-12-04T07:00:00+00:00,2021-12-04T08:00:00+00:00
"Viaggio Brescia-Bologna Centrale, Brescia-Milano Centrale:Treno Frecciarossa 9750, Carr 8, Posti 5D, PNR SS6UL5, Milano Centrale-Bologna Centrale:Treno Frecciarossa 9567, Carr 5, Posti 18C, PNR SS6UL5,  ",2018-12-11T00:00:00+00:00,2018-12-12T00:00:00+00:00
L’Open Source Intelligence (Osint) nel contrasto alle fake news,2022-06-06T17:30:00+00:00,2022-06-06T18:00:00+00:00
SAVE THE DATE - OSINT + Maltego/SocialNet training (Soft Strategy / docente Antonio Broi),2021-05-31T00:00:00+00:00,2021-06-02T00:00:00+00:00
"HackInBo ""Business Edition"" Winter 2021",2021-11-05T07:30:00+00:00,2021-11-05T16:00:00+00:00
Cambio gomme Kia Rio 16.30,2021-11-09T15:00:00+00:00,2021-11-09T16:00:00+00:00
Your iPhone Xmax is ready for PickUp ,2019-08-29T22:06:00+03:00,2019-08-30T18:06:00+03:00
Your iPhone Xmax is ready for PickUp ,2019-08-28T22:06:00+03:00,2019-08-29T18:06:00+03:00
Your iPhone Xmax is ready for PickUp ,2019-08-27T22:06:00+03:00,2019-08-28T18:06:00+03:00
Your iPhone Xmax is ready for PickUp ,2019-08-26T22:06:00+03:00,2019-08-27T18:06:00+03:00
Your iPhone Xmax is ready for PickUp ,2019-08-24T22:06:00+03:00,2019-08-25T18:06:00+03:00
Piazza Grande ho 1200,2022-05-02T09:30:00+00:00,2022-05-02T10:30:00+00:00
,2018-08-06T04:00:00+00:00,2018-08-06T05:00:00+00:00
Tampone per contatti stretti,2021-11-17T11:55:00+00:00,2021-11-17T12:00:00+00:00
Cartellino identificativo X ispezione,2022-11-14T06:00:00+00:00,2022-11-14T07:00:00+00:00
"""HackInBo - Sicurezza all'ombra delle Torri"" Spring Edition 2022 - 18° Ed.",2022-05-28T07:30:00+00:00,2022-05-28T14:30:00+00:00
OEC253 - OSINT - Investigazioni nel dark web e su crittovalute,2022-04-27T09:30:00+02:00,2022-04-27T17:30:00+02:00
Corso Osint Paterva Maltego - 4 Giorno,2021-06-18T06:00:00+00:00,2021-06-18T17:00:00+00:00
Corso di Perfezionamento,2018-11-13T00:00:00+00:00,2019-02-27T00:00:00+00:00
Appuntamento patronato Via torreggiano,2020-10-12T05:30:00+00:00,2020-10-12T06:30:00+00:00
Film,2016-12-10T15:20:00+00:00,2016-12-10T16:50:00+00:00
Cambio gomme Seat 16.00,2021-11-10T14:00:00+00:00,2021-11-10T15:00:00+00:00
Caldaia,2017-11-20T00:00:00+00:00,2017-11-21T00:00:00+00:00
Cittadella - Digital Forensics,2019-05-07T06:30:00+00:00,2019-05-07T15:30:00+00:00
GDPR Day,2023-10-19T00:00:00+00:00,2023-10-20T00:00:00+00:00
Intervento Magg Lisa I GTE,2021-11-04T06:00:00+00:00,2021-11-04T09:45:00+00:00
Intervento First Responfer,2023-02-23T06:00:00+00:00,2023-02-23T07:00:00+00:00
" ""HackInBo - Sicurezza all'ombra delle Torri"" Winter Edition 2019",2019-11-09T00:00:00+00:00,2019-11-10T00:00:00+00:00
Dentista Matteo Tizzani,2019-12-20T15:15:00+00:00,2019-12-20T15:40:00+00:00
Conference con Antonio,2021-05-28T07:30:00+00:00,2021-05-28T08:00:00+00:00
Pulizia Caldaia h 16.15 Imme gas,2022-02-02T14:00:00+00:00,2022-02-02T15:00:00+00:00
"HackInBo Spring 2021 ""LAB Edition""",2021-05-29T07:30:00+00:00,2021-05-29T15:00:00+00:00
Carrozzeria Zanardi Castelmaggiore Samuel 6 Aprile 0830,2022-04-05T05:00:00+00:00,2022-04-06T06:00:00+00:00
Reggio Emilia h. 05.45,2022-11-17T02:30:00+00:00,2022-11-17T03:30:00+00:00
Trasloco Cicchetti il 23,2022-04-22T10:00:00+00:00,2022-04-22T11:00:00+00:00
Domanda Pensione CISL San Lazzaro 09.10 Dr ssa Serra,2023-04-11T06:00:00+00:00,2023-04-11T07:00:00+00:00
Chiamare Muratore EdilEdera Nino,2020-07-22T08:00:00+00:00,2020-07-22T09:00:00+00:00
"""HackInBo Sicurezza all'ombra delle Torri"" Spring Edition 2017 + LAB",2017-05-06T07:30:00+00:00,2017-05-06T16:00:00+00:00
"HackInBo ""Safe Edition""",2020-05-14T19:30:00+00:00,2020-05-14T20:00:00+00:00
[iisfa] Buon tutto!,2014-12-23T22:00:00+00:00,2014-12-23T23:00:00+00:00
CORSO OSINT - MALTEGO & SOCIAL NETWORK 2* GIORNO,2021-06-01T06:00:00+00:00,2021-06-01T17:00:00+00:00
Pagare 4^ rata ord. condominiale 136,2023-11-17T09:00:00+00:00,2023-11-17T10:00:00+00:00
"SAVE THE ""EXTRA"" DATE - OSINT + Maltego/SocialNet training  (Soft Strategy / docente Antonio Broi)",2021-07-09T06:00:00+00:00,2021-07-09T12:00:00+00:00
Analisi stile scrittura e profilazione sociolinguistica,2022-11-28T18:30:00+00:00,2022-11-28T19:00:00+00:00
Seminario con Luca L'odio su Intella,2022-03-17T07:00:00+00:00,2022-03-17T08:00:00+00:00
Cittadella - Digital Forensics,2019-05-07T00:00:00+00:00,2019-05-08T00:00:00+00:00
L’Open Source Intelligence (Osint) nel contrasto alle fake news,2022-06-06T17:30:00+00:00,2022-06-06T18:00:00+00:00
Nella mente del criminale: cosa spinge al reato?,2022-11-18T13:00:00+00:00,2022-11-19T19:00:00+00:00
Corso Osint con Paterva Maltego 3° giorno,2021-06-10T06:00:00+00:00,2021-06-10T17:00:00+00:00
Cittadella - Economic Crime,2019-06-28T06:30:00+00:00,2019-06-28T15:30:00+00:00
Gtmc Padova ha 0500 partrnza,2022-05-04T02:00:00+00:00,2022-05-04T03:00:00+00:00
"""HackInBo - Sicurezza all'ombra delle Torri"" Spring Edition 2022 - 18° Ed.",2022-05-28T05:45:00+00:00,2022-05-28T12:45:00+00:00
"Viaggio Bologna Centrale-Milano Centrale, Treno Frecciarossa 9802, Carr 7, Posti 1A, PNR W7HNVN,  ",2022-07-06T06:13:00+00:00,2022-07-06T07:35:00+00:00
HackInBo Winter 2021 - 17° Edizione,2021-11-06T09:30:00+00:00,2021-11-06T16:00:00+00:00
Open Source Intelligence: minacce o opportunità?,2022-10-14T13:00:00+00:00,2022-10-14T14:00:00+00:00
Compleanno Cristian Lecca figlio Roberta Asoni,2021-12-31T07:00:00+00:00,2021-12-31T08:00:00+00:00
Seminario Digital Gorensic Cittadella lab4int.org,2019-05-10T11:30:00+00:00,2019-05-10T12:30:00+00:00
Cambio gomme Pneus Sport 10.30,2022-05-19T06:00:00+00:00,2022-05-19T07:00:00+00:00
CORSO OSINT - MALTEGO & SOCIAL NETWORK 1* GIORNO,2021-05-31T06:00:00+00:00,2021-05-31T17:00:00+00:00
Riunione you4b,2020-06-15T19:00:00+00:00,2020-06-15T20:00:00+00:00
Cittadella - OSInt - O.S.Intelligence,2019-06-03T06:30:00+00:00,2019-06-03T15:30:00+00:00
"""HackInBo Sicurezza all'ombra delle Torri"" Spring Edition 2016 + LAB",2016-05-14T07:30:00+00:00,2016-05-14T16:00:00+00:00
Soggiorno presso Hotel Califfo,2017-08-28T00:00:00+00:00,2017-09-03T00:00:00+00:00
DEFTCON 2014,2014-04-11T07:30:00+00:00,2014-04-11T15:00:00+00:00
Volo per Bologna (FR 3969),2019-01-31T11:15:00+00:00,2019-01-31T12:35:00+00:00
HackInBo Business Edition Winter 2022,2022-12-02T08:00:00+00:00,2022-12-02T16:00:00+00:00
CISL San Lazzaro Domanda Pensione Dott.ssa Serra,2023-03-11T07:00:00+00:00,2023-03-11T08:00:00+00:00
HackInBo Business Edition Winter 2022,2022-12-02T08:00:00+00:00,2022-12-02T16:00:00+00:00
"""HackInBo Sicurezza all'ombra delle Torri"" Spring Edition 2016 + LAB",2016-05-14T07:30:00+00:00,2016-05-14T16:00:00+00:00
DEFTCON 2014,2014-04-11T07:30:00+00:00,2014-04-11T15:00:00+00:00
HackInBo Winter Edition 2021 - 17esima Edizione,2021-11-06T08:30:00+00:00,2021-11-06T16:00:00+00:00
Cambio gomme Pneus Sport Mirko 10.30,2022-05-18T06:00:00+00:00,2022-05-18T07:00:00+00:00
Pagare 3^ rata condominiale ord.,2023-09-18T08:00:00+00:00,2023-09-18T09:00:00+00:00
Soggiorno presso Four Points Sheraton Bolzano Bozen,2019-03-12T00:00:00+00:00,2019-03-16T00:00:00+00:00
T.Col Ranieri Riunione ho 09.30,2022-07-18T11:00:00+00:00,2022-07-18T12:00:00+00:00
Pulizia Caldaia,2022-10-04T06:30:00+00:00,2022-10-04T07:30:00+00:00
Cambio gomme Seat Vale quattrini via larga H 1530,2022-10-25T12:00:00+00:00,2022-10-25T13:00:00+00:00
Chiesa di san benedetto via indipendenza,2023-02-18T00:00:00+00:00,2023-02-19T00:00:00+00:00
Osint Italia Tsurugi-Linux,2021-06-28T00:00:00+00:00,2021-06-29T00:00:00+00:00
Interruzione acqua per lavori Hera dalle 0900,2022-09-22T06:00:00+00:00,2022-09-22T07:00:00+00:00
Intervento Milano,2022-10-19T01:30:00+00:00,2022-10-19T02:30:00+00:00
HackInBo Winter Edition 2021 - 17esima Edizione,2021-11-06T08:30:00+00:00,2021-11-06T16:00:00+00:00
Digital Forensics & Investigations Meeting 2018,2018-06-26T00:00:00+00:00,2018-06-28T00:00:00+00:00
Encase Forensic Roadshow,2016-09-13T07:00:00+00:00,2016-09-13T11:30:00+00:00
Hackinbo bussiness,2022-12-02T10:00:00+00:00,2022-12-02T11:00:00+00:00
